id,label
31963,0
31964,0
31965,0
31966,0
31967,0
31968,0
31969,0
31970,0
31971,0
31972,0
31973,0
31974,0
31975,0
31976,0
31977,0
31978,0
31979,0
31980,0
31981,0
31982,0
31983,0
31984,0
31985,0
31986,0
31987,0
31988,0
31989,0
31990,0
31991,0
31992,0
31993,0
31994,0
31995,0
31996,0
31997,0
31998,0
31999,0
32000,0
32001,0
32002,0
32003,0
32004,0
32005,0
32006,0
32007,0
32008,0
32009,0
32010,0
32011,0
32012,0
32013,0
32014,0
32015,0
32016,0
32017,0
32018,0
32019,0
32020,0
32021,0
32022,0
32023,0
32024,0
32025,0
32026,0
32027,0
32028,1
32029,0
32030,0
32031,0
32032,0
32033,0
32034,0
32035,0
32036,0
32037,0
32038,0
32039,0
32040,0
32041,0
32042,0
32043,0
32044,0
32045,0
32046,0
32047,0
32048,1
32049,0
32050,0
32051,0
32052,0
32053,0
32054,0
32055,0
32056,0
32057,0
32058,0
32059,0
32060,0
32061,0
32062,0
32063,0
32064,0
32065,0
32066,0
32067,0
32068,0
32069,0
32070,0
32071,0
32072,1
32073,0
32074,0
32075,0
32076,0
32077,0
32078,0
32079,0
32080,0
32081,0
32082,0
32083,0
32084,0
32085,0
32086,0
32087,0
32088,1
32089,0
32090,0
32091,0
32092,0
32093,0
32094,0
32095,0
32096,0
32097,0
32098,0
32099,1
32100,0
32101,0
32102,0
32103,0
32104,0
32105,0
32106,0
32107,0
32108,0
32109,0
32110,0
32111,0
32112,0
32113,0
32114,0
32115,0
32116,0
32117,0
32118,0
32119,0
32120,0
32121,1
32122,0
32123,0
32124,0
32125,0
32126,0
32127,0
32128,0
32129,0
32130,0
32131,0
32132,0
32133,0
32134,0
32135,0
32136,0
32137,0
32138,0
32139,0
32140,0
32141,0
32142,0
32143,0
32144,0
32145,0
32146,0
32147,0
32148,0
32149,0
32150,0
32151,0
32152,0
32153,0
32154,0
32155,0
32156,0
32157,0
32158,0
32159,0
32160,0
32161,0
32162,0
32163,0
32164,0
32165,0
32166,0
32167,1
32168,0
32169,0
32170,0
32171,0
32172,0
32173,0
32174,0
32175,0
32176,0
32177,0
32178,0
32179,0
32180,0
32181,0
32182,0
32183,0
32184,0
32185,0
32186,0
32187,0
32188,0
32189,0
32190,0
32191,0
32192,0
32193,0
32194,0
32195,0
32196,0
32197,0
32198,0
32199,0
32200,0
32201,0
32202,0
32203,0
32204,0
32205,0
32206,1
32207,0
32208,0
32209,0
32210,0
32211,0
32212,0
32213,0
32214,0
32215,0
32216,0
32217,0
32218,0
32219,0
32220,0
32221,0
32222,0
32223,0
32224,0
32225,0
32226,0
32227,0
32228,0
32229,0
32230,0
32231,0
32232,0
32233,0
32234,0
32235,0
32236,0
32237,0
32238,0
32239,0
32240,0
32241,0
32242,0
32243,0
32244,0
32245,0
32246,0
32247,0
32248,0
32249,0
32250,0
32251,0
32252,0
32253,0
32254,0
32255,0
32256,0
32257,0
32258,0
32259,0
32260,1
32261,0
32262,0
32263,0
32264,0
32265,0
32266,0
32267,0
32268,0
32269,0
32270,0
32271,0
32272,0
32273,1
32274,0
32275,0
32276,0
32277,0
32278,0
32279,0
32280,0
32281,0
32282,0
32283,0
32284,0
32285,0
32286,0
32287,0
32288,0
32289,0
32290,0
32291,0
32292,0
32293,0
32294,0
32295,0
32296,0
32297,0
32298,0
32299,0
32300,0
32301,0
32302,0
32303,0
32304,0
32305,0
32306,0
32307,0
32308,0
32309,0
32310,1
32311,0
32312,0
32313,0
32314,0
32315,0
32316,0
32317,0
32318,0
32319,0
32320,0
32321,0
32322,0
32323,0
32324,0
32325,0
32326,0
32327,0
32328,0
32329,0
32330,0
32331,0
32332,0
32333,0
32334,0
32335,0
32336,0
32337,0
32338,0
32339,0
32340,0
32341,0
32342,0
32343,0
32344,0
32345,0
32346,0
32347,0
32348,0
32349,0
32350,0
32351,0
32352,0
32353,0
32354,0
32355,0
32356,0
32357,0
32358,0
32359,0
32360,0
32361,1
32362,0
32363,0
32364,0
32365,0
32366,0
32367,0
32368,0
32369,0
32370,0
32371,0
32372,0
32373,0
32374,0
32375,0
32376,0
32377,0
32378,0
32379,0
32380,0
32381,0
32382,0
32383,0
32384,0
32385,0
32386,1
32387,0
32388,0
32389,0
32390,0
32391,0
32392,0
32393,0
32394,0
32395,0
32396,0
32397,0
32398,0
32399,0
32400,0
32401,0
32402,0
32403,0
32404,0
32405,0
32406,0
32407,0
32408,0
32409,0
32410,0
32411,1
32412,0
32413,0
32414,0
32415,0
32416,0
32417,0
32418,0
32419,0
32420,0
32421,0
32422,0
32423,0
32424,0
32425,0
32426,1
32427,0
32428,0
32429,0
32430,0
32431,0
32432,0
32433,0
32434,0
32435,0
32436,0
32437,0
32438,0
32439,0
32440,0
32441,0
32442,0
32443,0
32444,0
32445,0
32446,0
32447,0
32448,0
32449,0
32450,0
32451,0
32452,0
32453,0
32454,0
32455,1
32456,0
32457,0
32458,0
32459,0
32460,0
32461,0
32462,0
32463,0
32464,0
32465,0
32466,0
32467,0
32468,0
32469,0
32470,0
32471,0
32472,0
32473,0
32474,0
32475,0
32476,0
32477,0
32478,0
32479,0
32480,0
32481,0
32482,0
32483,0
32484,0
32485,0
32486,0
32487,0
32488,0
32489,0
32490,0
32491,0
32492,0
32493,0
32494,0
32495,0
32496,0
32497,0
32498,0
32499,0
32500,0
32501,0
32502,0
32503,0
32504,0
32505,0
32506,0
32507,0
32508,0
32509,0
32510,0
32511,0
32512,0
32513,0
32514,0
32515,0
32516,0
32517,0
32518,0
32519,0
32520,0
32521,0
32522,0
32523,0
32524,0
32525,0
32526,0
32527,0
32528,0
32529,0
32530,0
32531,0
32532,0
32533,0
32534,0
32535,0
32536,0
32537,0
32538,0
32539,0
32540,0
32541,1
32542,0
32543,0
32544,0
32545,0
32546,0
32547,0
32548,0
32549,0
32550,0
32551,0
32552,0
32553,0
32554,0
32555,0
32556,0
32557,0
32558,0
32559,0
32560,0
32561,0
32562,0
32563,0
32564,0
32565,0
32566,0
32567,0
32568,0
32569,0
32570,0
32571,0
32572,0
32573,0
32574,0
32575,0
32576,0
32577,0
32578,0
32579,0
32580,0
32581,1
32582,0
32583,0
32584,0
32585,0
32586,0
32587,0
32588,0
32589,0
32590,0
32591,0
32592,0
32593,0
32594,0
32595,0
32596,0
32597,0
32598,0
32599,0
32600,0
32601,0
32602,0
32603,0
32604,0
32605,0
32606,0
32607,0
32608,0
32609,0
32610,0
32611,0
32612,0
32613,0
32614,0
32615,0
32616,1
32617,0
32618,0
32619,0
32620,0
32621,0
32622,0
32623,0
32624,0
32625,0
32626,0
32627,0
32628,0
32629,0
32630,0
32631,0
32632,0
32633,1
32634,0
32635,0
32636,0
32637,0
32638,0
32639,0
32640,0
32641,0
32642,0
32643,0
32644,0
32645,0
32646,0
32647,0
32648,0
32649,0
32650,0
32651,0
32652,0
32653,0
32654,0
32655,0
32656,0
32657,0
32658,0
32659,0
32660,0
32661,0
32662,0
32663,0
32664,0
32665,0
32666,0
32667,0
32668,0
32669,0
32670,0
32671,0
32672,0
32673,0
32674,0
32675,0
32676,0
32677,1
32678,0
32679,0
32680,0
32681,0
32682,1
32683,1
32684,0
32685,0
32686,0
